Total Water,Carbohydrate,Total Fiber,Fat,Protein,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Biotin,Calcium,Chromium ,Copper ,Fluoride ,Iodine ,Iron ,Magnesium ,Manganese ,Molybdenum ,Phosphorus ,Selenium ,Zinc,Potassium ,Sodium ,Chloride ,Choline,Linoleic Acid
700,60,ND,31,9.1,1333,40,400,6,2,0.2,0.3,2,0.1,65,0.4,1.7,5,200,0.2,200,0.01,110,0.27,30,0.003,2,100,15,2,400,110,180,125,4400
800,95,ND,30,11,1667,50,400,7.5,2.5,0.3,0.4,4,0.3,80,0.5,1.8,6,260,5.5,220,0.5,130,11,75,0.6,3,275,20,3,860,370,570,150,4600
1300,130,19,ND,13,1000,15,600,9,30,0.5,0.5,6,0.5,150,0.9,2,8,700,11,340,0.7,90,7,80,1.2,17,460,20,3,2000,800,1500,200,700
1700,130,25,ND,19,1333,25,600,10.4,55,0.6,0.6,8,0.6,200,1.2,3,12,1000,15,440,1,90,10,130,1.5,22,500,30,5,2300,1000,1900,250,1000
2400,130,31,ND,34,2000,45,600,16.4,60,0.9,0.9,12,1,300,1.8,4,20,1300,25,700,2,120,8,240,1.9,34,1250,40,8,2500,1200,2300,375,1200
3300,130,38,ND,52,3000,75,600,22.4,75,1.2,1.3,16,1.3,400,2.4,5,25,1300,35,890,3,150,11,410,2.2,43,1250,55,11,3000,1500,2300,550,1600
3700,130,38,ND,56,3000,90,600,22.4,120,1.2,1.3,16,1.3,400,2.4,5,30,1000,35,900,4,150,8,400,2.3,45,700,55,11,3400,1500,2300,550,1700
2100,130,26,ND,34,2000,45,600,16.4,60,0.9,0.9,12,1,300,1.8,4,20,1300,21,700,2,120,8,240,1.6,34,1250,40,8,2300,1200,2300,375,1000
2300,130,26,ND,46,2333,65,600,22.4,75,1,1,14,1.2,400,2.4,5,25,1300,24,890,3,150,15,360,1.6,43,1250,55,9,2300,1500,2300,400,1100
2700,130,25,ND,46,2333,75,600,22.4,90,1.1,1.1,14,1.3,400,2.4,5,30,1000,25,900,3,150,18,310,1.8,45,700,55,8,2600,1500,2300,425,1200
